city,population,lat,lon,region_name,federal_district
Алейск,29.0,52.4922513,82.7793606,Алтайский край,Сибирский
Барнаул,632.4,53.3479968,83.7798064,Алтайский край,Сибирский
Белокуриха,15.2,51.996152,84.9839604,Алтайский край,Сибирский
Бийск,199.5,52.5393864,85.2138453,Алтайский край,Сибирский
Горняк,12.3,50.9979622,81.4643358,Алтайский край,Сибирский
Заринск,45.9,53.7063476,84.9315081,Алтайский край,Сибирский
Змеиногорск,10.2,51.1581094,82.1872547,Алтайский край,Сибирский
Камень-на-Оби,40.5,53.7913974,81.3545053,Алтайский край,Сибирский
Новоалтайск,74.6,53.4119759,83.9311069,Алтайский край,Сибирский
Рубцовск,141.6,51.5012067,81.2078695,Алтайский край,Сибирский
Славгород,29.1,52.999463,78.6459232,Алтайский край,Сибирский
Яровое,18.1,52.9252146,78.5729775,Алтайский край,Сибирский
Белогорск,65.3,50.9213415,128.4739471,Амурская область,Дальневосточный
Благовещенск,226.4,50.290659,127.527198,Амурская область,Дальневосточный
Завитинск,10.2,50.1064111,129.4391813,Амурская область,Дальневосточный
Зея,23.0,53.7340088,127.265787,Амурская область,Дальневосточный
Райчихинск,16.8,49.7941615,129.4112492,Амурская область,Дальневосточный
Свободный,54.0,51.3614103,128.1219729,Амурская область,Дальневосточный
Сковородино,8.9,53.9871095,123.9437205,Амурская область,Дальневосточный
Тында,33.2,55.1546441,124.7468904,Амурская область,Дальневосточный
Циолковский,7.2,51.762481,128.1219846,Амурская область,Дальневосточный
Шимановск,18.6,52.0051886,127.7005458,Амурская область,Дальневосточный
Архангельск,347.0,64.5394289,40.5169606,Архангельская область,Северо-Западный
Вельск,22.3,61.066,42.1032789,Архангельская область,Северо-Западный
Каргополь,10.0,61.5009724,38.9636966,Архангельская область,Северо-Западный
Коряжма,35.7,61.2885948,47.1003015,Архангельская область,Северо-Западный
Котлас,62.0,61.2528972,46.633242,Архангельская область,Северо-Западный
Мезень,3.2,65.8398078,44.2532273,Архангельская область,Северо-Западный
Мирный,32.9,62.7645265,40.3360076,Архангельская область,Северо-Западный
Нарьян-Мар,25.1,67.63777777777779,53.00666666666667,Архангельская область,Северо-Западный
Новодвинск,37.7,64.4136851,40.8208143,Архангельская область,Северо-Западный
Няндома,19.1,61.6654674,40.2062947,Архангельская область,Северо-Западный
Онега,18.5,63.9162928,38.0805031,Архангельская область,Северо-Западный
Северодвинск,182.0,64.5625385,39.8180934,Архангельская область,Северо-Западный
Сольвычегодск,1.9,61.3319616,46.920441,Архангельская область,Северо-Западный
Шенкурск,4.7,62.1057272,42.8996973,Архангельская область,Северо-Западный
Астрахань,529.8,46.3655652,48.0559236,Астраханская область,Южный
Ахтубинск,36.5,48.2752034,46.1906462,Астраханская область,Южный
Знаменск,26.7,48.5866291,45.7368019,Астраханская область,Южный
Камызяк,15.7,46.110579,48.07333,Астраханская область,Южный
Нариманов,10.8,46.6916565,47.8502476,Астраханская область,Южный
Харабали,17.5,47.408999,47.2525345,Астраханская область,Южный
Алексеевка,37.8,50.6299647,38.6880342,Белгородская область,Центральный
Белгород,394.1,50.5976472,36.5856652,Белгородская область,Центральный
Бирюч,7.5,50.6484585,38.4005083,Белгородская область,Центральный
Валуйки,34.2,50.2111207,38.0998772,Белгородская область,Центральный
Грайворон,6.5,50.4862958,35.6663877,Белгородская область,Центральный
Губкин,86.2,51.2837123,37.5347759,Белгородская область,Центральный
Короча,5.8,50.8129041,37.1896436,Белгородская область,Центральный
Новый Оскол,18.5,50.7633747,37.8775484,Белгородская область,Центральный
Старый Оскол,223.9,51.2967101,37.8350182,Белгородская область,Центральный
Строитель,24.1,50.7845099,36.4887648,Белгородская область,Центральный
Шебекино,40.9,50.4004883,36.8877889,Белгородская область,Центральный
Брянск,402.7,53.2419535,34.3652146,Брянская область,Центральный
Дятьково,26.2,53.5958178,34.3551812,Брянская область,Центральный
Жуковка,16.4,53.5340397,33.7302579,Брянская область,Центральный
Злынка,5.3,52.4267015,31.7360399,Брянская область,Центральный
Карачев,17.2,53.1296524,34.9888727,Брянская область,Центральный
Клинцы,63.0,52.7529119,32.233911,Брянская область,Центральный
Мглин,7.1,53.0599771,32.8468129,Брянская область,Центральный
Новозыбков,39.5,52.537173,31.9357991,Брянская область,Центральный
Почеп,16.4,52.9154851,33.4744058,Брянская область,Центральный
Севск,6.6,52.1483358,34.4918415,Брянская область,Центральный
Сельцо,16.4,53.3739884,34.1059172,Брянская область,Центральный
Стародуб,18.2,52.5852257,32.760403,Брянская область,Центральный
Сураж,10.7,53.0170888,32.3938878,Брянская область,Центральный
Трубчевск,13.6,52.5791734,33.7660547,Брянская область,Центральный
Унеча,22.8,52.8461199,32.6757629,Брянская область,Центральный
Фокино,12.8,53.4554145,34.4159238,Брянская область,Центральный
Александров,57.9,56.391819,38.7111123,Владимирская область,Центральный
Владимир,356.9,56.1280804,40.4084376,Владимирская область,Центральный
Вязники,34.5,56.29773,42.2687398,Владимирская область,Центральный
Гороховец,12.6,56.2021036,42.6926111,Владимирская область,Центральный
Гусь-Хрустальный,52.8,55.6198751,40.6579929,Владимирская область,Центральный
Камешково,12.0,56.3490152,40.9955183,Владимирская область,Центральный
Карабаново,14.9,56.3131822,38.7034257,Владимирская область,Центральный
Киржач,26.7,56.1486863,38.8635701,Владимирская область,Центральный
Ковров,135.7,56.3554349,41.3170576,Владимирская область,Центральный
Кольчугино,42.0,56.3327254,39.391336,Владимирская область,Центральный
Костерево,8.1,55.9337222,39.6247398,Владимирская область,Центральный
Курлово,5.8,55.452698,40.6124108,Владимирская область,Центральный
Лакинск,14.1,56.0180587,39.956551,Владимирская область,Центральный
Меленки,13.5,55.3387515,41.6340046,Владимирская область,Центральный
Муром,107.0,55.5630311,42.0231362,Владимирская область,Центральный
Петушки,12.5,55.9298134,39.4508075,Владимирская область,Центральный
Покров,16.7,55.9166398,39.1734526,Владимирская область,Центральный
Радужный,18.3,55.9960277,40.3321855,Владимирская область,Центральный
Собинка,17.3,55.9939169,40.0179653,Владимирская область,Центральный
Струнино,12.9,56.3749967,38.5839667,Владимирская область,Центральный
Судогда,10.1,55.9498056,40.8562939,Владимирская область,Центральный
Суздаль,9.6,56.4274441,40.4525692,Владимирская область,Центральный
Юрьев-Польский,18.1,56.4937757,39.6680539,Владимирская область,Центральный
Волгоград,1009.0,48.7070042,44.5170339,Волгоградская область,Южный
Волжский,323.9,48.7978209,44.7462538,Волгоградская область,Южный
Дубовка,13.7,49.0554742,44.8270085,Волгоградская область,Южный
Жирновск,15.5,50.9768814,44.7858202,Волгоградская область,Южный
Калач-на-Дону,23.6,48.6889024,43.5306303,Волгоградская область,Южный
Камышин,109.9,50.0651529,45.3844202,Волгоградская область,Южный
Котельниково,20.4,47.6310259,43.1330872,Волгоградская область,Южный
Котово,21.4,50.3205766,44.8030699,Волгоградская область,Южный
Краснослободск,17.1,48.7068721,44.5630857,Волгоградская область,Южный
Ленинск,14.4,48.6936061,45.1992692,Волгоградская область,Южный
